iter	RMSE
0	1008.971398
1	999.0864652
2	989.8904219
3	981.0931424
4	972.2995064
5	963.8205519
6	955.7376326
7	948.4127638
8	941.2600745
9	934.1225976
10	927.2218096
11	921.1704309
12	915.0426362
13	909.0930908
14	903.7570707
15	898.3475904
16	892.793898
17	887.9563459
18	883.2494685
19	878.8429309
20	874.5306076
21	870.1218105
22	866.1699467
23	862.2935736
24	858.5175201
25	854.9595082
26	851.7687427
27	848.527979
28	845.1092704
29	841.776172
30	838.9943385
31	835.9762077
32	833.1392828
33	830.3768124
34	828.0527932
35	825.6359125
36	823.5269593
37	820.9790648
38	818.8133204
39	816.7439319
40	814.7004425
41	812.3949162
42	810.4683531
43	808.8340579
44	807.2201342
45	805.4361264
46	803.5052521
47	801.8202713
48	800.0956831
49	798.3720953
50	797.0732289
51	795.9670827
52	794.6668817
53	793.1022028
54	791.7635326
55	790.3765218
56	789.3125504
57	788.2332233
58	786.8376369
59	785.5876258
60	784.4713438
61	783.5992054
62	782.6682036
63	781.5446363
64	780.8208198
65	779.9961821
66	779.3714265
67	778.486945
68	777.5558287
69	776.667498
70	775.6835261
71	774.7244717
72	773.6448007
73	772.7617782
74	771.9765245
75	771.2040902
76	770.7749294
77	770.3243959
78	769.7311961
79	768.9888711
80	768.4655882
81	767.953481
82	767.5345945
83	767.0277875
84	766.4514657
85	765.5124889
86	764.8269698
87	764.3200773
88	763.6890794
89	763.0622918
90	762.7538533
91	762.1972398
92	761.6873194
93	761.1928037
94	760.6472528
95	760.251521
96	760.0699581
97	759.4063332
98	759.1744766
99	758.6560943
100	758.1649807
101	757.3224154
102	757.1927232
103	756.8396252
104	756.172545
105	755.9519293
106	755.5490741
107	755.305588
108	754.8385244
109	754.6344251
110	754.1351545
111	753.6665974
112	753.4599837
113	753.2304695
114	752.7924612
115	752.3640468
116	752.185777
117	751.85623
118	751.6195311
119	751.154271
120	750.8595279
121	750.6191821
122	750.3520619
123	750.2521151
124	749.851758
125	749.7272262
126	749.4751242
127	748.9175299
128	748.4556306
129	748.1640964
130	747.8640334
131	747.6663373
132	747.4421372
133	747.0775896
134	746.6529856
135	746.3316667
136	746.1919476
137	745.9662092
138	745.5511126
139	745.1287304
140	745.0758834
141	744.8511594
142	744.6900159
143	744.209639
144	744.0075219
145	743.6083395
146	743.1382372
147	742.9406796
148	742.6567584
149	742.5391524
150	742.3809179
151	742.2125824
152	741.9076415
153	741.6704745
154	741.212643
155	740.9768114
156	740.8332841
157	740.6772603
158	740.5195474
159	740.3288697
160	740.2217604
161	739.96742
162	739.7491931
163	739.7160142
164	739.4913632
165	739.3153465
166	739.0556148
167	738.9136801
168	738.6959914
169	738.4404231
170	738.4195142
171	738.2833935
172	737.8331536
173	737.542242
174	737.3635812
175	737.1669267
176	736.9609375
177	736.845987
178	736.7367274
179	736.4741193
180	736.2842971
181	736.164262
182	736.1327594
183	735.9279482
184	735.7583001
185	735.4891434
186	735.3553771
187	735.3377862
188	735.1300668
189	734.9238879
190	734.8306379
191	734.6258262
192	734.4273956
193	734.2271881
194	734.1743155
195	733.9678815
196	733.852078
197	733.5824801
198	733.4434895
199	733.3952311
200	733.1794905
201	733.0670259
202	732.7812055
203	732.5344431
204	732.4240045
205	732.3290685
206	732.0202764
207	731.9081405
208	731.7627435
209	731.3623557
210	731.3054428
211	731.0710769
212	730.7620222
213	730.5277428
214	730.2954954
215	730.1355349
216	729.7692922
217	729.4596738
218	729.3735363
219	729.296575
220	729.161776
221	729.0004087
222	728.8595608
223	728.5903596
224	728.1356263
225	727.9161469
226	727.5236557
227	727.2519869
228	726.9637356
229	726.8891144
230	726.5953888
231	726.5447549
232	726.505964
233	726.1991141
234	725.9890919
235	725.7637232
236	725.5030833
237	725.2328962
238	725.0575491
239	724.9611173
240	724.8771538
241	724.5496762
242	724.1476716
243	723.8101307
244	723.5873546
245	723.3583657
246	723.2592779
247	723.2171046
248	723.1343739
249	722.9748345
250	722.824805
251	722.5463221
252	722.4421114
253	722.3086336
254	722.1310763
255	722.0762674
256	721.876156
257	721.62848
258	721.5740915
259	721.4610496
260	721.3523093
261	721.1674539
262	721.1085031
263	720.9320099
264	720.7039315
265	720.6993289
266	720.5071671
267	720.2138238
268	720.0304616
269	719.5425244
270	719.2518047
271	719.0607114
272	719.0542827
273	718.7697287
274	718.3811522
275	718.1843907
276	717.6356741
277	717.5289963
278	717.3810268
279	717.2917883
280	716.9809114
281	716.7910981
282	716.4723617
283	716.3037926
284	716.0044869
285	715.7899072
286	715.6605259
287	715.3145051
288	714.9942565
289	714.9586565
290	714.5939397
291	714.5109672
292	714.3386249
293	714.1704338
294	714.1383878
295	713.8437927
296	713.7458816
297	713.6505171
298	713.3922492
299	713.1444091
300	713.0867108
301	712.7924029
302	712.5768336
303	712.4303093
304	712.3081096
305	712.2775055
306	712.2152342
307	712.0545932
308	712.0032244
309	711.6001525
310	711.3205397
311	711.0511648
312	710.8162457
313	710.7240462
314	710.4698511
315	710.3411651
316	710.1978764
317	710.1889961
318	710.1170014
319	709.8206785
320	709.6493262
321	709.4064207
322	709.3028189
323	709.0800686
324	708.9996556
325	708.8606558
326	708.5728601
327	708.3150571
328	708.096844
329	708.009236
330	707.6721114
331	707.624622
332	707.4192466
333	707.3117221
334	707.1975046
335	706.9115221
336	706.8321295
337	706.5721264
338	706.3729629
339	706.2340935
340	706.051433
341	705.8500224
342	705.5807967
343	705.4386903
344	704.9774444
345	704.8528284
346	704.6790358
347	704.5602792
348	704.4468169
349	704.4142596
350	704.3604449
351	704.2544907
352	704.1690908
353	704.0088544
354	703.9088539
355	703.7075232
356	703.5174699
357	703.1153337
358	702.7813679
359	702.6213392
360	702.2604446
361	702.1226816
362	701.7523756
363	701.4888083
364	701.2725571
365	701.1733001
366	700.968899
367	700.8845774
368	700.820451
369	700.6649292
370	700.4610544
371	700.2825462
372	700.1847193
373	699.9173398
374	699.8245692
375	699.5410064
376	699.4882472
377	699.2388533
378	698.8227581
379	698.7379974
380	698.532607
381	698.3645642
382	698.0757201
383	697.71307
384	697.4003695
385	697.2578648
386	697.0890912
387	696.7944386
388	696.6379218
389	696.3632541
390	696.013153
391	695.8651952
392	695.7033655
393	695.448989
394	695.2909642
395	695.2464703
396	695.1560945
397	695.029637
398	694.983996
399	694.8877887
400	694.7134216
401	694.636192
402	694.5940535
403	694.438461
404	694.0819079
405	693.9362035
406	693.4718237
407	693.1582341
408	692.9334948
409	692.6605142
410	692.5746513
411	692.3259886
412	692.2834841
413	692.2352734
414	692.1021189
415	691.7393701
416	691.4956499
417	691.3431896
418	691.1935515
419	690.9349956
420	690.8793791
421	690.8170055
422	690.7620249
423	690.4962697
424	690.3315427
425	690.1350869
426	689.8576971
427	689.4602059
428	689.3851639
429	689.1335145
430	689.0007593
431	688.7906071
432	688.5647082
433	688.2533272
434	687.9788519
435	687.8888835
436	687.6179293
437	687.2708211
438	687.1546117
439	686.7646296
440	686.5556371
441	686.3718338
442	686.2754516
443	686.0884428
444	685.6610434
445	685.474101
446	685.232314
447	685.0527976
448	684.8605815
449	684.6286094
450	684.2907683
451	684.1104904
452	684.0145709
453	683.7651316
454	683.5292056
455	683.4001904
456	683.1328157
457	683.0413802
458	682.7996319
459	682.6736693
460	682.3509723
461	682.121111
462	682.032464
463	681.7142091
464	681.5453698
465	681.4693123
466	681.2285656
467	681.0859312
468	680.9968122
469	680.9042644
470	680.7804592
471	680.5361682
472	680.4372404
473	680.343192
474	680.1187314
475	680.0248958
476	679.8465748
477	679.520211
478	679.3523224
479	679.1838444
480	679.024147
481	678.8264791
482	678.6368819
483	678.5994776
484	678.3664241
485	678.2368381
486	678.1076858
487	677.8383171
488	677.6206862
489	677.3732711
490	677.0884717
491	676.8546623
492	676.6665334
493	676.5279195
494	676.4245294
495	676.4064606
496	676.331155
497	676.0809125
498	675.9153939
499	675.6767742
500	675.548092
501	675.2242724
502	675.1089175
503	675.0144724
504	674.9401583
505	674.8691343
506	674.6959784
507	674.60338
508	674.3210096
509	674.2296317
510	673.9926894
511	673.8818921
512	673.5577535
513	673.4127992
514	673.3044162
515	673.0614367
516	672.9573294
517	672.7122871
518	672.6340309
519	672.3972446
520	672.0892627
521	671.9035392
522	671.670999
523	671.5177924
524	671.3706372
525	671.1198854
526	670.8562417
527	670.7744979
528	670.6969011
529	670.471929
530	670.3707616
531	670.2137844
532	670.041942
533	670.032297
534	669.6663573
535	669.512228
536	669.4866151
537	669.3868247
538	669.0672687
539	668.9179637
540	668.6813909
541	668.6079861
542	668.5757219
543	668.3756183
544	668.2172963
545	668.1602114
546	668.0304063
547	667.8666765
548	667.7790958
549	667.6480964
550	667.6060364
551	667.4816461
552	667.3698201
553	667.2820872
554	666.9610597
555	666.8502102
556	666.7266453
557	666.6557239
558	666.3789236
559	666.2078921
560	665.8799463
561	665.8104313
562	665.7004547
563	665.5116264
564	665.3183976
565	665.1839749
566	665.1083507
567	665.0395378
568	664.7377941
569	664.6358598
570	664.5301363
571	664.3994318
572	664.2091327
573	663.9074816
574	663.6802198
575	663.6425612
576	663.3879608
577	663.1620668
578	663.0417111
579	662.8777123
580	662.4638399
581	662.3186113
582	662.2434771
583	662.0349431
584	661.960004
585	661.8811247
586	661.8532778
587	661.7303784
588	661.6111374
589	661.5184005
590	661.4624215
591	661.3670548
592	661.2421221
593	661.1814449
594	660.9929863
595	660.9197349
596	660.8672779
597	660.6862696
598	660.5217272
599	660.3854933
600	660.2637223
601	660.1190875
602	660.0396305
603	659.9855598
604	659.8037137
605	659.7035909
606	659.6315767
607	659.5580875
608	659.3830887
609	659.2519768
610	659.0969065
611	658.93832
612	658.7458618
613	658.7413519
614	658.6521862
615	658.6305791
616	658.489055
617	658.4003781
618	658.1779643
619	658.0502598
620	657.9516109
621	657.7379401
622	657.6492447
623	657.6020672
624	657.5881328
625	657.4345392
626	657.3816657
627	657.2729877
628	657.2034086
629	657.1004579
630	657.0460048
631	656.8714158
632	656.8344796
633	656.7701419
634	656.6753427
635	656.4986186
636	656.3409394
637	656.2584734
638	656.2266479
639	656.0886986
640	655.6997304
641	655.5860441
642	655.4071385
643	655.3711881
644	655.2840048
645	655.0676112
646	655.0380032
647	654.8256053
648	654.5027367
649	654.4320474
650	654.3117893
651	654.2440626
652	654.1792194
653	654.1395051
654	653.9464472
655	653.8117908
656	653.628821
657	653.5196435
658	653.4681661
659	653.2810883
660	653.2528194
661	653.1906707
662	652.9655522
663	652.7960132
664	652.5813146
665	652.5431223
666	652.4839793
667	652.293005
668	652.195575
669	651.8004788
670	651.6444785
671	651.5187783
672	651.3164948
673	651.2826778
674	651.2611449
675	651.2561717
676	651.1196603
677	650.8139012
678	650.7581568
679	650.6040432
680	650.559962
681	650.5157843
682	650.3846655
683	650.3467874
684	650.0284318
685	649.9477343
686	649.9438812
687	649.8633357
688	649.8598886
689	649.7793256
690	649.6124566
691	649.461707
692	649.4034398
693	649.2136713
694	649.0472211
695	648.9634359
696	648.8486367
697	648.8012246
698	648.7322234
699	648.6999427
700	648.5004897
701	648.2837911
702	647.979408
703	647.7786686
704	647.7211413
705	647.5679095
706	647.5397842
707	647.370483
708	647.2517405
709	647.1280851
710	647.0911895
711	646.8300458
712	646.8259199
713	646.7345753
714	646.6720506
715	646.5376043
716	646.4981225
717	646.4220346
718	646.2723135
719	646.2382433
720	646.1834133
721	646.0580812
722	645.8166183
723	645.6007896
724	645.492501
725	645.2671409
726	645.1723981
727	644.9705203
728	644.7841456
729	644.7330721
730	644.7042596
731	644.6374211
732	644.5490962
733	644.409776
734	644.0452304
735	643.9133173
736	643.8484075
737	643.8001677
738	643.7596225
739	643.5215736
740	643.4907455
741	643.3967873
742	643.3280171
743	643.2297235
744	643.2159272
745	643.1092765
746	643.0218128
747	642.7654866
748	642.7501994
749	642.5554343
750	642.4899424
751	642.2867963
752	642.2044399
753	642.1042493
754	642.0743395
755	642.0255229
756	641.8429829
757	641.7521011
758	641.6460837
759	641.4982996
760	641.2942638
761	641.241036
