iter	Passed	Remaining
0	73	145949
1	88	88561
2	105	70320
3	121	60740
4	137	54722
5	151	50495
6	170	48534
7	185	46145
8	198	43933
9	211	42128
10	226	40934
11	240	39923
12	254	38938
13	267	37921
14	279	37051
15	296	36734
16	310	36177
17	323	35567
18	334	34908
19	348	34500
20	362	34204
21	375	33782
22	392	33741
23	426	35081
24	440	34829
25	453	34398
26	466	34100
27	478	33693
28	492	33492
29	507	33306
30	521	33106
31	533	32803
32	548	32722
33	560	32432
34	576	32382
35	591	32267
36	605	32114
37	619	31983
38	633	31836
39	644	31564
40	657	31410
41	669	31197
42	682	31054
43	695	30920
44	709	30843
45	721	30663
46	734	30520
47	747	30415
48	762	30370
49	776	30269
50	791	30237
51	804	30145
52	821	30184
53	834	30068
54	848	30021
55	862	29934
56	875	29850
57	887	29721
58	902	29701
59	915	29601
60	927	29489
61	939	29368
62	953	29317
63	966	29233
64	978	29116
65	991	29052
66	1004	28977
67	1015	28846
68	1029	28823
69	1041	28705
70	1052	28606
71	1063	28488
72	1080	28512
73	1094	28498
74	1110	28510
75	1124	28454
76	1138	28425
77	1150	28350
78	1163	28282
79	1176	28229
80	1191	28232
81	1205	28206
82	1220	28192
83	1233	28141
84	1247	28112
85	1260	28053
86	1273	27998
87	1287	27978
88	1305	28037
89	1320	28028
90	1339	28091
91	1350	28016
92	1366	28026
93	1381	28004
94	1395	27974
95	1408	27932
96	1423	27927
97	1437	27901
98	1452	27895
99	1466	27860
100	1480	27839
101	1495	27818
102	1509	27797
103	1520	27724
104	1536	27728
105	1551	27721
106	1565	27700
107	1577	27639
108	1593	27646
109	1606	27597
110	1619	27563
111	1632	27522
112	1648	27525
113	1661	27494
114	1675	27470
115	1689	27433
116	1702	27399
117	1715	27356
118	1730	27356
119	1741	27289
120	1758	27301
121	1770	27254
122	1786	27256
123	1800	27239
124	1815	27229
125	1829	27217
126	1845	27214
127	1859	27191
128	1872	27164
129	1886	27131
130	1900	27109
131	1906	26979
132	1920	26960
133	1933	26920
134	1948	26917
